post_id,category,commodity,target_roles,location_state,location_city,latitude,longitude,qty_min_mt,qty_max_mt,price_per_unit_inr,created_at,expires_at,is_active,vec_commodity_rice,vec_commodity_wheat,vec_co  mmodity_cotton,vec_commodity_sugar,vec_commodity_soybean,vec_commodity_maize,vec_commodity_spices,vec_commodity_pulses,vec_commodity_groundnut,vec_commodity_mustard,vec_role_trader,vec_role_exporter,vec_role_broker,vec_geo_x,vec_geo_y,vec_geo_z,vec_qty_min_norm,vec_qty_max_norm,recency_score
78a45f24-e31d-47cb-8857-ccc3d82b2b5c,deal_req,wheat,broker|trader,Uttar Pradesh,Agra,27.1767,78.0081,116.0,914.0,29851.49,2026-03-29T13:05:24.208001+00:00,2026-04-05T13:05:24.208001+00:00,True,0,1,0,0,0,0,0,0,0,0,1,0,1,0.184836,0.870188,0.456736,0.0232,0.1828,0.148382
8f15b310-024a-4eb1-aece-2fb67df6c080,deal_req,maize,broker|trader,Punjab,Chandigarh,30.7333,76.7794,202.0,664.0,21694.8,2026-03-15T21:25:33.819357+00:00,2026-03-22T21:25:33.819357+00:00,False,0,0,0,0,0,1,0,0,0,0,1,0,1,0.196581,0.836774,0.511043,0.0404,0.1328,0.087183
39aaef3c-7d90-446a-9d78-5a94078ab08e,market_update,sugar,broker,Maharashtra,Mumbai,19.076,72.8777,,,,2026-03-27T04:57:00.055830+00:00,2026-03-29T04:57:00.055830+00:00,False,0,0,0,1,0,0,0,0,0,0,0,0,1,0.278245,0.903198,0.326822,0.0,0.0,0.016124
b510dd81-f862-4184-acf7-183ea14d1aaf,knowledge,soybean,trader,Odisha,Bhubaneswar,20.2961,85.8245,,,,2026-03-10T04:53:50.850946+00:00,2026-06-08T04:53:50.850946+00:00,True,0,0,0,0,1,0,0,0,0,0,1,0,0,0.068291,0.935423,0.346872,0.0,0.0,0.529054
6ce6cbc3-4362-46e4-9fba-f003c01b80e1,deal_req,sugar,broker,Maharashtra,Nagpur,21.1458,79.0882,857.0,1853.0,35800.26,2026-04-02T18:41:15.098937+00:00,2026-04-09T18:41:15.098937+00:00,True,0,0,0,1,0,0,0,0,0,0,0,0,1,0.176551,0.915803,0.360742,0.1714,0.3706,0.327335
8149c324-db98-49ce-b69f-1193e1ad4b4a,deal_req,maize,exporter|trader,Odisha,Bhubaneswar,20.2961,85.8245,239.0,425.0,20530.78,2026-03-20T05:03:21.656010+00:00,2026-03-27T05:03:21.656010+00:00,False,0,0,0,0,0,1,0,0,0,0,1,1,0,0.068291,0.935423,0.346872,0.0478,0.085,0.096921
8942da33-0818-4bf8-874a-cf5187c5223e,discussion,pulses,exporter,Madhya Pradesh,Indore,22.7196,75.8577,,,,2026-03-23T12:05:24.864341+00:00,2026-04-06T12:05:24.864341+00:00,True,0,0,0,0,0,0,0,1,0,0,0,1,0,0.225372,0.89445,0.386222,0.0,0.0,0.061673
485eef17-9cdf-4841-8208-c59c384376d3,market_update,mustard,exporter,Madhya Pradesh,Indore,22.7196,75.8577,,,,2026-03-14T03:45:18.675941+00:00,2026-03-16T03:45:18.675941+00:00,False,0,0,0,0,0,0,0,0,0,1,0,1,0,0.225372,0.89445,0.386222,0.0,0.0,0.007076
3ca064b9-c2ec-4c5f-9486-94e1b8dfbada,discussion,mustard,broker,Karnataka,Hubli,15.3647,75.124,,,,2026-03-08T15:38:22.661911+00:00,2026-03-22T15:38:22.661911+00:00,False,0,0,0,0,0,0,0,0,0,1,0,0,1,0.247552,0.93194,0.264962,0.0,0.0,0.040182
c3ca8fb8-e3f3-4f25-846b-9f0f1ba6257e,deal_req,rice,trader,Madhya Pradesh,Indore,22.7196,75.8577,45.0,348.0,35475.3,2026-03-28T11:16:19.495599+00:00,2026-04-04T11:16:19.495599+00:00,True,1,0,0,0,0,0,0,0,0,0,1,0,0,0.225372,0.89445,0.386222,0.009,0.0696,0.137083
d19cbf2e-386b-4f4f-98ae-dd864c235b75,market_update,soybean,exporter|trader,Telangana,Warangal,17.9689,79.5941,,,,2026-03-10T21:08:55.322617+00:00,2026-03-12T21:08:55.322617+00:00,False,0,0,0,0,1,0,0,0,0,0,1,1,0,0.171811,0.935579,0.308501,0.0,0.0,0.006278
7621e8d2-22d4-4004-8093-3335fb4ea8f7,market_update,maize,broker,Chhattisgarh,Raipur,21.2514,81.6296,,,,2026-03-24T14:58:49.348156+00:00,2026-03-26T14:58:49.348156+00:00,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0.135673,0.922071,0.362461,0.0,0.0,0.012637
7e4f8199-7383-459d-b1a0-6e17ebdd7e13,discussion,mustard,broker,Maharashtra,Nagpur,21.1458,79.0882,,,,2026-03-24T09:11:37.924342+00:00,2026-04-07T09:11:37.924342+00:00,True,0,0,0,0,0,0,0,0,0,1,0,0,1,0.176551,0.915803,0.360742,0.0,0.0,0.064308
4c70ba94-9c17-43da-ac72-24ca583c2935,deal_req,cotton,broker|exporter,Punjab,Chandigarh,30.7333,76.7794,48.0,199.0,58565.63,2026-03-14T11:50:25.060749+00:00,2026-03-21T11:50:25.060749+00:00,False,0,0,1,0,0,0,0,0,0,0,0,1,1,0.196581,0.836774,0.511043,0.0096,0.0398,0.084685
238e788f-d897-4437-befb-326e79edbc4f,knowledge,mustard,broker|exporter,Gujarat,Ahmedabad,23.0225,72.5714,,,,2026-03-09T16:00:15.936783+00:00,2026-06-07T16:00:15.936783+00:00,True,0,0,0,0,0,0,0,0,0,1,0,1,1,0.275661,0.878099,0.391093,0.0,0.0,0.527896
f1a6186b-0597-4236-a6aa-bfbd5b1e421c,knowledge,spices,trader,Madhya Pradesh,Indore,22.7196,75.8577,,,,2026-03-31T07:02:07.757929+00:00,2026-06-29T07:02:07.757929+00:00,True,0,0,0,0,0,0,1,0,0,0,1,0,0,0.225372,0.89445,0.386222,0.0,0.0,0.648543
543ba990-013f-4bc6-b3c8-5bad22ee5b98,discussion,rice,broker,Andhra Pradesh,Hyderabad,17.385,78.4867,,,,2026-03-26T15:29:09.033258+00:00,2026-04-09T15:29:09.033258+00:00,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0.190478,0.935116,0.298791,0.0,0.0,0.073027
faee485b-14bb-4b30-9bec-a274c68571b4,deal_req,maize,broker|trader,Uttar Pradesh,Kanpur,26.4499,80.3319,34.0,367.0,23987.85,2026-03-07T18:26:27.448476+00:00,2026-03-14T18:26:27.448476+00:00,False,0,0,0,0,0,1,0,0,0,0,1,0,1,0.150361,0.882608,0.445415,0.0068,0.0734,0.075401
dcfbb61c-210d-4693-9ad7-d3b83f608bdb,deal_req,cotton,trader,Gujarat,Rajkot,22.3039,70.8022,26.0,46.0,60139.58,2026-03-21T21:54:51.833576+00:00,2026-03-28T21:54:51.833576+00:00,False,0,0,1,0,0,0,0,0,0,0,1,0,0,0.304229,0.873733,0.379519,0.0052,0.0092,0.101982
be8718a0-0c90-4de6-b32a-af7e53728ae3,deal_req,rice,broker,Haryana,Hisar,29.1492,75.7217,57.0,287.0,42303.94,2026-03-05T01:28:17.582419+00:00,2026-03-12T01:28:17.582419+00:00,False,1,0,0,0,0,0,0,0,0,0,0,0,1,0.215397,0.846376,0.487086,0.0114,0.0574,0.072543
8665198c-ec38-4fe5-a55d-12b33a212866,discussion,mustard,broker,Madhya Pradesh,Bhopal,23.2599,77.4126,,,,2026-04-01T21:24:14.287036+00:00,2026-04-15T21:24:14.287036+00:00,True,0,0,0,0,0,0,0,0,0,1,0,0,1,0.200216,0.896641,0.394903,0.0,0.0,0.163091
ffe5990c-855f-4da8-b736-be83fd858967,knowledge,spices,broker|trader,Uttar Pradesh,Agra,27.1767,78.0081,,,,2026-03-26T05:31:49.846268+00:00,2026-06-24T05:31:49.846268+00:00,True,0,0,0,0,0,0,1,0,0,0,1,0,1,0.184836,0.870188,0.456736,0.0,0.0,0.589454
95691ad9-06ab-4cd5-8f72-3e49c64c6a8e,deal_req,spices,broker|exporter|trader,Gujarat,Ahmedabad,23.0225,72.5714,11.0,23.0,379417.45,2026-03-31T16:12:02.195257+00:00,2026-04-07T16:12:02.195257+00:00,True,0,0,0,0,0,0,1,0,0,0,1,1,1,0.275661,0.878099,0.391093,0.0022,0.0046,0.186248
a1c6bcda-6500-4ddd-90b9-f24af1deff32,deal_req,maize,trader,Karnataka,Hubli,15.3647,75.124,227.0,517.0,19763.97,2026-04-01T10:21:44.764461+00:00,2026-04-08T10:21:44.764461+00:00,True,0,0,0,0,0,1,0,0,0,0,1,0,0,0.247552,0.93194,0.264962,0.0454,0.1034,0.211452
32bf4834-1a55-4315-bac0-53fecd40f47e,discussion,pulses,trader,Rajasthan,Jaipur,26.9124,75.7873,,,,2026-03-24T12:14:39.146499+00:00,2026-04-07T12:14:39.146499+00:00,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0.218932,0.864406,0.452628,0.0,0.0,0.064718
